candidate,margin_threshold,best_similarity_threshold,duration_minimum_seconds,duration_margin_threshold,session,utterance_count,score,accuracy,unassigned_rate,error_rate,misattributed_seconds,correct_count,unassigned_count,wrong_count
margin>=0.06 OR best>=0.3 dur[3.0s->0.06],0.06,0.3,3.0,0.06,20260818-end,195,0.8984615384615384,0.8461538461538461,0.08717948717948718,0.06666666666666667,12.899999999999977,165,17,13
margin>=0.06 OR best>=0.3 dur[3.0s->0.06],0.06,0.3,3.0,0.06,20260825-end,243,0.9037037037037038,0.8271604938271605,0.12757201646090535,0.04526748971193416,8.260000000000094,201,31,11
margin>=0.06 OR best>=0.3 dur[3.0s->0.06],0.06,0.3,3.0,0.06,pooled,438,0.9013698630136987,0.8356164383561644,0.1095890410958904,0.0547945205479452,21.16000000000007,366,48,24
margin>=0.06 OR best>=0.325,0.06,0.325,,,20260818-end,195,0.8964102564102564,0.841025641025641,0.09230769230769231,0.06666666666666667,12.899999999999977,164,18,13
margin>=0.06 OR best>=0.325,0.06,0.325,,,20260825-end,243,0.9045267489711935,0.823045267489712,0.13580246913580246,0.0411522633744856,6.860000000000003,200,33,10
margin>=0.06 OR best>=0.325,0.06,0.325,,,pooled,438,0.9009132420091325,0.8310502283105022,0.11643835616438356,0.05251141552511415,19.75999999999998,364,51,23
margin>=0.06 OR best>=0.325 dur[1.0s->0.0],0.06,0.325,1.0,0.0,20260818-end,195,0.8953846153846154,0.8461538461538461,0.08205128205128205,0.07179487179487179,14.43999999999997,165,16,14
margin>=0.06 OR best>=0.325 dur[1.0s->0.0],0.06,0.325,1.0,0.0,20260825-end,243,0.9045267489711935,0.8353909465020576,0.11522633744855967,0.04938271604938271,9.32000000000004,203,28,12
margin>=0.06 OR best>=0.325 dur[1.0s->0.0],0.06,0.325,1.0,0.0,pooled,438,0.9004566210045662,0.8401826484018264,0.1004566210045662,0.0593607305936073,23.76000000000001,368,44,26
margin>=0.06 OR best>=0.325 dur[1.0s->0.02],0.06,0.325,1.0,0.02,20260818-end,195,0.8953846153846154,0.8461538461538461,0.08205128205128205,0.07179487179487179,14.43999999999997,165,16,14
