threshold,score,accuracy,unassigned_rate,error_rate,misattributed_seconds
0.0,0.819634703196347,0.819634703196347,0.0,0.18036529680365296,110.58700000000022
0.001,0.8246575342465754,0.815068493150685,0.01598173515981735,0.1689497716894977,100.69700000000013
0.002,0.8251141552511416,0.8127853881278538,0.02054794520547945,0.16666666666666666,99.72700000000013
0.003,0.828310502283105,0.8105022831050228,0.02968036529680365,0.1598173515981735,97.13800000000013
0.004,0.8310502283105023,0.8036529680365296,0.045662100456621,0.1506849315068493,93.80800000000015
0.005,0.8328767123287671,0.8013698630136986,0.05251141552511415,0.1461187214611872,90.16800000000013
0.006,0.834703196347032,0.7990867579908676,0.0593607305936073,0.1415525114155251,85.94800000000016
0.007,0.8378995433789955,0.7968036529680366,0.0684931506849315,0.13470319634703196,77.82800000000015
0.008,0.8383561643835616,0.7945205479452054,0.0730593607305936,0.1324200913242009,77.34800000000013
0.009,0.8365296803652968,0.7831050228310502,0.08904109589041095,0.1278538812785388,75.74800000000016
0.01,0.8360730593607306,0.7785388127853882,0.0958904109589041,0.12557077625570776,74.40800000000013
0.011,0.8365296803652968,0.776255707762557,0.1004566210045662,0.1232876712328767,72.69800000000014
0.012,0.8351598173515982,0.769406392694064,0.1095890410958904,0.12100456621004566,71.2380000000001
0.013,0.8378995433789955,0.769406392694064,0.1141552511415525,0.11643835616438356,69.13800000000012
0.014,0.8378995433789955,0.7625570776255708,0.12557077625570776,0.11187214611872145,54.78800000000021
0.015,0.8374429223744293,0.7579908675799086,0.1324200913242009,0.1095890410958904,54.048000000000215
0.016,0.834703196347032,0.7511415525114156,0.13926940639269406,0.1095890410958904,54.048000000000215
0.017,0.8342465753424658,0.7465753424657534,0.1461187214611872,0.10730593607305935,53.21900000000015
0.018,0.8356164383561645,0.7465753424657534,0.14840182648401826,0.1050228310502283,52.25900000000023
0.019,0.8365296803652968,0.7420091324200914,0.15753424657534246,0.1004566210045662,51.45900000000016
0.02,0.838812785388128,0.7374429223744292,0.1689497716894977,0.09360730593607305,46.979000000000134
