threshold,score,accuracy,unassigned_rate,error_rate,misattributed_seconds
0.0,0.819634703196347,0.819634703196347,0.0,0.18036529680365296,110.58700000000022
0.005,0.8328767123287671,0.8013698630136986,0.05251141552511415,0.1461187214611872,90.16800000000013
0.01,0.8360730593607306,0.7785388127853882,0.0958904109589041,0.12557077625570776,74.40800000000013
0.015,0.8374429223744293,0.7579908675799086,0.1324200913242009,0.1095890410958904,54.048000000000215
0.02,0.838812785388128,0.7374429223744292,0.1689497716894977,0.09360730593607305,46.979000000000134
0.025,0.8337899543378997,0.7077625570776256,0.2100456621004566,0.0821917808219178,41.119000000000085
0.03,0.8333333333333335,0.682648401826484,0.2511415525114155,0.06621004566210045,34.08900000000007
0.035,0.83013698630137,0.6643835616438356,0.2762557077625571,0.0593607305936073,32.39000000000006
0.04,0.825570776255708,0.639269406392694,0.3105022831050228,0.0502283105022831,28.480000000000018
0.045,0.8232876712328769,0.6232876712328768,0.3333333333333333,0.04337899543378995,23.739999999999995
0.05,0.81689497716895,0.6004566210045662,0.3607305936073059,0.03881278538812785,22.599999999999994
0.055,0.81689497716895,0.58675799086758,0.3835616438356164,0.02968036529680365,20.41999999999996
0.06,0.8100456621004569,0.5662100456621004,0.4063926940639269,0.0273972602739726,19.339999999999918
